City ID,City Name,Country,Cloudiness,Max Temp,Wind Speed,Humidity,Lat,Lng
0,Flinders,AU,94,51.06,1.01,91,-34.5833,150.8552
1,Tepecik,TR,100,64.69,2.26,68,41.0293,28.5498
2,Arrondissement de Carpentras,FR,7,82.92,2.46,53,44.0833,5.1667
3,Mehamn,NO,0,48.38,6.91,61,71.0357,27.8492
4,Mataura,NZ,100,46.47,0.65,99,-46.1927,168.8643
5,Hobyo,SO,99,77.56,25.61,85,5.3505,48.5268
6,Bambous Virieux,MU,40,71.85,10.36,88,-20.3428,57.7575
7,Thinadhoo,MV,68,82.45,7.61,74,0.5333,72.9333
8,Ponta do Sol,PT,34,72.23,3.8,74,32.6667,-17.1
9,Yellowknife,CA,40,68.56,5.75,56,62.456,-114.3525
10,Chokurdakh,RU,94,50.2,9.42,69,70.6333,147.9167
11,Yei,SS,95,67.32,7.78,91,4.095,30.6779
12,Ushuaia,AR,40,38.82,26.46,87,-54.8,-68.3
13,Isangel,VU,38,75.92,7.14,90,-19.55,169.2667
14,Cape Town,ZA,0,57.11,2.3,95,-33.9258,18.4232
15,Srednekolymsk,RU,100,58.19,14.16,57,67.45,153.6833
16,Vila Franca do Campo,PT,100,72.01,6.69,78,37.7167,-25.4333
17,Sortavala,RU,100,53.62,10.87,65,61.7053,30.6918
18,Kruisfontein,ZA,0,58.89,3.91,92,-34.0033,24.7314
19,Lebu,CL,6,50.97,19.15,67,-37.6167,-73.65
20,Ekibastuz,KZ,7,63.66,5.97,55,51.6667,75.3667
21,Phuket,TH,40,87.1,3.44,86,8.0,98.25
22,Rikitea,PF,100,75.38,12.86,77,-23.1203,-134.9692
23,Hamilton,US,1,90.79,1.99,38,39.1834,-84.5333
24,Tasiilaq,GL,22,42.96,3.6,75,65.6145,-37.6368
25,Bluff,NZ,100,46.8,8.08,96,-46.6,168.3333
26,Puerto Ayora,EC,82,82.36,11.01,81,-0.7393,-90.3518
27,Santa Catarina de Tepehuanes,MX,17,85.68,15.99,21,25.35,-105.7333
28,Faanui,PF,11,80.6,15.61,77,-16.4833,-151.75
29,Punta Arenas,CL,20,41.11,12.66,56,-53.15,-70.9167
30,Pecos,US,1,98.69,10.36,20,31.4229,-103.4932
31,Rafaela,AR,35,71.01,5.01,47,-31.2503,-61.4867
32,Upernavik,GL,98,34.57,8.28,93,72.7868,-56.1549
33,Ambon City,ID,100,78.19,3.74,82,-3.6954,128.1814
34,Mwinilunga,ZM,58,54.32,4.07,42,-11.7358,24.4293
35,Katsuura,JP,12,68.14,2.13,81,35.1333,140.3
36,Pisco,PE,0,69.85,8.05,68,-13.7,-76.2167
37,George Town,MY,20,80.89,3.0,87,5.4112,100.3354
38,Sapiranga,BR,0,73.08,1.95,74,-29.6381,-51.0069
